yyyymmddhh,lat,long,rainfall-total
2013063021,49.875,29.125,0.01
2013063021,49.875,29.375,0.01
2013063021,49.875,29.625,0.01
2013063021,49.875,31.375,0.55
2013063021,49.875,31.625,0.15
2013063021,49.875,31.875,0.03
2013063021,49.875,32.125,0.03
2013063021,49.875,35.875,0.03
2013063021,49.875,75.875,0.75
2013063021,49.875,76.125,0.54
2013063021,49.875,76.375,0.22
2013063021,49.875,76.625,0.07
2013063021,49.875,76.875,0.00
2013063021,49.875,86.375,2.01
2013063021,49.875,86.625,2.54
2013063021,49.875,106.125,0.69
2013063021,49.875,-100.125,3.14
2013063021,49.875,-99.625,0.18
2013063021,49.875,-97.125,5.08
2013063021,49.625,29.125,0.01
2013063021,49.625,29.375,0.05
2013063021,49.625,29.625,0.00
2013063021,49.625,31.375,0.37
2013063021,49.625,31.625,0.12
2013063021,49.625,31.875,2.40
2013063021,49.625,32.625,2.01
2013063021,49.625,75.875,0.27
2013063021,49.625,76.125,0.10
2013063021,49.625,76.375,0.02
2013063021,49.625,76.625,0.00
2013063021,49.625,105.875,2.26
2013063021,49.625,-97.125,5.27
2013063021,49.375,29.125,0.03
2013063021,49.375,29.375,33.98
2013063021,49.375,30.125,6.27
2013063021,49.375,32.625,14.37
2013063021,49.375,32.875,17.91
2013063021,49.375,77.875,2.38
2013063021,49.375,78.625,0.53
2013063021,49.375,105.625,20.79
2013063021,49.375,105.875,21.38
2013063021,49.375,106.375,3.66
2013063021,49.375,123.625,0.06
2013063021,49.375,124.125,0.27
2013063021,49.375,-97.625,0.01
2013063021,49.375,-97.375,3.38
2013063021,49.125,29.375,53.91
2013063021,49.125,29.625,0.01
2013063021,49.125,29.875,27.16
2013063021,49.125,30.125,21.14
2013063021,49.125,30.625,0.06
2013063021,49.125,30.875,0.06
2013063021,49.125,32.125,0.27
2013063021,49.125,32.625,2.64
2013063021,49.125,32.875,5.47
2013063021,49.125,33.125,0.00
2013063021,49.125,75.625,0.00
2013063021,49.125,76.125,0.07
2013063021,49.125,77.875,1.53
2013063021,49.125,105.375,6.98
2013063021,49.125,105.875,0.84
2013063021,49.125,123.625,0.12
2013063021,49.125,124.125,1.08
2013063021,49.125,124.375,1.66
2013063021,49.125,124.625,1.51
2013063021,49.125,125.125,0.05
2013063021,49.125,-97.375,0.08
2013063021,48.875,29.375,15.51
2013063021,48.875,31.125,0.00
2013063021,48.875,38.125,0.23
2013063021,48.875,85.625,0.57
2013063021,48.875,85.875,0.08
2013063021,48.875,104.625,20.92
2013063021,48.875,123.125,0.38
2013063021,48.875,123.375,1.25
2013063021,48.875,123.625,0.25
2013063021,48.875,123.875,10.58
2013063021,48.875,124.125,15.94
2013063021,48.875,124.375,18.86
2013063021,48.875,124.625,10.41
2013063021,48.875,124.875,1.74
2013063021,48.875,125.125,0.28
2013063021,48.875,-97.125,0.00
2013063021,48.625,31.375,0.07
2013063021,48.625,31.625,0.03
2013063021,48.625,75.875,0.00
2013063021,48.625,85.625,0.00
2013063021,48.625,103.625,0.02
2013063021,48.625,103.875,10.15
2013063021,48.625,104.125,9.08
2013063021,48.625,104.375,27.78
2013063021,48.625,104.625,5.35
2013063021,48.625,117.625,0.01
2013063021,48.625,117.875,0.04
2013063021,48.625,123.125,0.26
2013063021,48.625,123.375,0.72
2013063021,48.625,123.625,2.64
2013063021,48.625,123.875,5.03
2013063021,48.625,124.125,8.24
2013063021,48.625,124.375,9.61
2013063021,48.625,124.625,2.16
2013063021,48.625,124.875,1.29
2013063021,48.625,125.125,0.18
2013063021,48.625,125.375,0.00
2013063021,48.375,30.125,0.07
2013063021,48.375,30.375,0.22
2013063021,48.375,30.625,0.64
2013063021,48.375,31.375,0.61
2013063021,48.375,31.625,0.80
2013063021,48.375,31.875,3.44
2013063021,48.375,32.125,2.53
2013063021,48.375,32.375,10.54
2013063021,48.375,32.625,1.06
2013063021,48.375,32.875,2.01
2013063021,48.375,33.125,3.19
2013063021,48.375,33.375,2.91
2013063021,48.375,33.625,1.46
2013063021,48.375,33.875,0.57
2013063021,48.375,34.125,0.27
2013063021,48.375,34.375,0.05
2013063021,48.375,35.875,0.03
2013063021,48.375,110.375,0.09
2013063021,48.375,117.875,0.02
2013063021,48.375,123.125,9.73
2013063021,48.375,123.375,4.26
2013063021,48.375,123.625,7.70
2013063021,48.375,123.875,5.53
2013063021,48.375,124.125,7.86
2013063021,48.375,124.375,1.99
2013063021,48.375,124.625,1.43
2013063021,48.375,124.875,0.78
2013063021,48.375,125.125,0.10
